time , queue density , dynamic density
4721,0.194516,0.221897
4726,0.200697,0.222763
4731,0.2024,0.213931
4736,0.19235,0.20645
4741,0.187428,0.188372
4746,0.172747,0.167681
4751,0.153869,0.143044
4756,0.126572,0.127097
4761,0.105559,0.115494
4766,0.0906125,0.0988563
4771,0.0781281,0.0862813
4776,0.0641313,0.0620563
4781,0.0442875,0.0460375
4786,0.0297406,0.02865
4791,0.0125938,0.0153437
4796,0.00618437,0.0184781
4801,0.00275312,0.006175
4806,0.00293125,0.00389688
4811,0.0034,0.0050375
4816,0.00330313,0.00584063
4821,0.00338125,0.0114813
4826,0.00366563,0.00782188
4831,0.0036625,0.00516875
4836,0.00466562,0.0108125
4841,0.0050125,0.00919688
4846,0.00553438,0.0085875
4851,0.00519375,0.00732188
4856,0.00553125,0.00682187
4861,0.00494062,0.0086375
4866,0.00479687,0.00705
4871,0.00490937,0.0061125
4876,0.00515312,0.00622187
4881,0.00520937,0.00633125
4886,0.00530937,0.00706875
4891,0.00520313,0.00676875
4896,0.00499687,0.0059
4901,0.0101563,0.012425
4906,0.0160344,0.0213531
4911,0.0139625,0.0198281
4916,0.008425,0.0132812
4921,0.0269625,0.0353687
4926,0.0316813,0.0398906
4931,0.0590562,0.0750781
4936,0.0621031,0.0910875
4941,0.062125,0.0975875
4946,0.0700625,0.0955594
4951,0.0617125,0.087025
4956,0.0530344,0.0758375
4961,0.0463906,0.0690031
4966,0.0397031,0.0482656
4971,0.0473063,0.05405
4976,0.0448812,0.0723469
4981,0.0370156,0.0795656
4986,0.039925,0.079175
4991,0.0399094,0.0756594
4996,0.0418844,0.0711312
5001,0.0431969,0.0666531
5006,0.0428062,0.0583844
5011,0.0367281,0.0558937
5016,0.0213469,0.0363031
5021,0.0109594,0.0197719
5026,0.0104531,0.0159875
5031,0.00639375,0.0107281
5036,0.006925,0.0120781
5041,0.00772812,0.01195
5046,0.0173906,0.022175
5051,0.0510437,0.068075
5056,0.0957531,0.130084
5061,0.126625,0.172528
5066,0.143909,0.192356
5071,0.169431,0.237794
5076,0.174359,0.2737
5081,0.180872,0.265834
5086,0.180656,0.230516
5091,0.179666,0.213034
5096,0.167513,0.212375
5101,0.143434,0.185531
5106,0.114941,0.141197
